PC1,PC2,cluster
-1.8166012252656798,1.459483209234582,1
-1.7114894469218342,-1.259070752303958,1
1.5634704318246198,-3.5567787012646077,0
-1.7380991928176388,-0.9736537063773224,1
0.4244704475771251,-2.3352240138738005,0
-4.6934937899102325,0.1619750049302286,1
1.0616372451741956,2.6083295283364585,0
2.226667110027513,-2.7254700712442177,0
-2.2740466233478553,-0.04882983482321022,1
1.123412893203364,-2.954954779619325,0
1.332762936570999,-3.2422167042808394,0
3.3296089513070157,-1.6563808480515054,0
-3.4358027840121697,-0.5299020445184671,1
0.9823135512555874,0.3360092658320494,0
-1.2170128080747775,0.23898488360459133,1
-0.8922684196796862,0.40976484805461555,1
0.2072945850075408,-0.3849442210527949,0
3.08103145755004,-2.4629601471926192,0
4.392320425629423,-2.4681168352790954,0
-0.4839920083775072,0.3699602767768976,1
1.9931850104404563,1.3685532856024378,0
3.980017921559812,1.8948868314411003,0
-4.34853655682018,-1.061553694385054,1
2.5278081575792988,-2.2071885734042866,0
1.5884464266817695,-2.5339207616737616,0
2.0843471105238214,1.246804183631714,0
2.4491868767182896,-0.18553475793251215,0
-1.1361677832571773,0.16347180102911196,1
-0.7686835007260925,3.6253015498377374,1
3.234286287556982,-5.760190276035219,0
3.1026837792919717,5.824169845552816,0
-2.7718258342381117,0.815019161955625,1
0.014616902404445433,-3.866541096634664,0
3.4527486652070905,-0.22752084960431038,0
6.8238114268579935,0.35300676965063393,0
2.4679584391292635,-4.335395213809475,0
-1.3060964086145992,3.7908221060263907,1
4.043758013236867,2.745674522872289,0
-4.773053423206677,1.1329725085833569,1
-6.265058823467031,-0.1666216920245966,1
-3.2112595404576556,1.7617861130370007,1
-3.2080017363425477,1.2484143538901016,1
1.8687079027342641,-1.5057858464898701,0
4.158041570674863,-3.397643168988329,0
0.619527552446657,-1.9176830806830467,0
-4.771421762364458,-1.380302216314073,1
0.5130808821226753,-1.4589439538874565,0
-4.540282158773383,1.4942720647235868,1
-1.4305238134626377,-0.19064173110367824,1
1.956555619634058,-1.5112817253428308,0
5.048639972936659,-0.7229232386950281,0
1.1062891161711104,-2.4113063471603007,0
0.7408563754132395,-3.1979441827693766,0
1.842147973970907,2.7243966486366022,0
-0.8600318282260356,-0.8375427826844035,1
-0.48213668078597954,-0.03387719586876913,1
-3.0082589709125647,-1.7351562121664559,1
-2.441432869219313,-2.7798774712420538,1
1.9047629032634625,3.3574558223688524,0
-1.7631654375527068,2.352213191055439,1
0.9169086212210814,1.8017693826154944,0
-5.856857510551744,-1.465179873206647,1
5.279457417844663,0.5077455704263917,0
0.9116472281132874,-0.9684114525328837,0
-4.335916633364471,3.094371589772678,1
3.0179890592341674,2.3333263933064576,0
-2.672528813151558,1.7225986162319853,1
1.2350685732078284,-0.22654738496664648,0
-1.3178042183855632,1.4959762426447132,1
-2.455662794157761,-4.243232578032738,1
-1.226808885346068,-2.2058256909691805,1
2.2832820914120537,-0.05303411546722434,0
1.5082872737475375,-4.03704915196418,0
-1.52446988528143,-3.477924716768042,1
1.955015212360841,2.0455763338147803,0
1.8258215471058235,-1.4523381983406556,0
2.796256253721939,-1.9528775583698752,0
-3.4400632600357266,-0.23229097998196035,1
-0.9069095484980049,6.658453042310952,1
0.5617432828003462,1.0760822774725027,0
-2.047349013383568,-4.03147465012723,1
4.1950781803299355,0.5347500712557715,0
-0.1202115621599498,-4.065670791982294,1
2.0172408322143647,-0.6644741651717325,0
-1.9485184467593701,1.646157979436666,1
5.661003990200503,-2.94045784146884,0
-0.33065176778728017,-1.5838036811633824,1
4.686291778417344,-0.47652253482383977,0
-3.54520042010195,0.042391207507053934,1
-3.932177580576615,2.7589770428609177,1
-0.520512305676919,1.8488744446632464,1
1.4810096046695047,1.0270514930053798,0
1.1214176983204946,-2.3449949697194645,0
5.675468944199989,0.2241250227805711,0
-3.9800718346342596,2.1668692861523207,1
2.8901686477474398,-1.1732640506611047,0
-4.698277504143876,0.010472556607039298,1
1.5918472222450524,0.42962090710279,0
-6.8601171426679795,0.46112706731488723,1
6.55425318046601,1.310027254816114,0
1.7744962278774576,2.277325178094625,0
1.6820795731531248,-0.7238515324615332,0
0.6723371288415492,-2.4865244875567227,0
-5.119001207509997,1.9410751826998325,1
2.813302839519398,2.7292926899975534,0
-1.6893800564467372,1.4828450840191387,1
0.29173379863981996,-3.544454880403712,0
3.5282807742835356,0.3675595423748504,0
5.922553751883206,-1.3985843833392317,0
3.177386259440588,3.3486565761441156,0
6.290435388290345,-0.44469863311407065,0
1.264916904639755,-4.610635316819843,0
-1.0079340664369565,0.5230800388877526,1
-4.511430645377159,0.4741789967687089,1
0.6744813445769268,2.204083198564251,0
9.040693845329864,3.500277356742449,0
4.686283994578343,2.1968938543635175,0
2.956564383435344,-1.1978850823023175,0
-2.682468284375209,0.8809112773889102,1
4.945140488549792,-2.547204301466111,0
-2.8725117364771666,2.880617044239187,1
-0.9556208405045645,-1.716376644240182,1
1.0336978976594244,-2.8033209721951766,0
-2.030475627345237,1.1183338396904876,1
0.9816372563544133,0.010682855161358773,0
1.015205776449292,5.432109869694962,0
-3.676752990082413,-1.7122379249144917,1
4.285970182515072,-0.09593572563775032,0
2.7041881061489503,0.24383749036011115,0
3.7662411347533946,5.577357430893786,0
-5.90357628839091,-0.07013060987560817,1
-0.1649524869656629,0.8105464346522382,1
-4.713000014116553,1.3790883962694747,1
-3.15245762114543,2.0247906227506047,1
-2.8648302512490003,-0.6896222707621485,1
-6.173611403022875,0.9860275242106462,1
-3.565833935321102,-1.6157566835343007,1
-0.43470515056366016,-4.758973268902097,1
0.47725324990094387,-2.7245193399098597,0
-1.3476158916977965,-1.6016344067559825,1
3.3707716156421426,2.037937577618202,0
-3.101993236432203,1.2174527958176438,1
5.1171780891682745,-1.3432618221144563,0
-0.2844878072301814,-1.4352200162657596,1
-0.7387682899554511,-0.2290279969580101,1
-4.370059678278386,-2.049515731860328,1
0.10097702481222619,1.437158512919809,0
2.152926102360912,-2.514752832872538,0
1.629295042462802,-2.744599117909215,0
-1.1079489127462696,2.497561269831201,1
-0.42443249753559464,-2.3898771280295805,1
2.549120196690316,-1.7912375913236978,0
4.25817943055535,3.8361437452885045,0
-3.8543064668984894,3.3419728913132967,1
-3.0660331678469617,-1.8418622639254125,1
-3.739971733634803,0.2139929931002406,1
2.3276784751509285,1.5108813934429195,0
4.529278678565766,0.00991764094760386,0
-1.674656197782551,3.44354108135301,1
-0.7619347854926903,-0.13926465048397127,1
0.4417090367172296,-0.9652919758695342,0
-2.6562507571404934,-1.3003446879034204,1
-1.4534122784503618,2.0716856468852205,1
0.9745517595617734,-2.14758856237841,0
-0.7617751522687897,1.1350563821692954,1
-0.3218748448287006,-2.3756404284305694,1
5.229028488410791,-0.5896495514659114,0
-2.9136309111127456,0.21220036603503936,1
-1.033612848497668,-2.188164245145501,1
-0.556690086053863,-1.65628703015016,1
0.3963924157167329,2.5402092886181444,0
-2.812994463660251,3.0923243251637627,1
-0.375741204915705,-1.4158048923516213,1
-1.955588760226262,-2.0070846767173216,1
-1.3442876386534568,0.1919856105936993,1
-0.2661853903563231,2.811923818895008,1
2.499849060273098,0.9451788833283669,0
0.3144479365773744,-1.5361142342980185,0
9.3562671020223,7.660657011962077,0
4.496053270440683,-1.1741167233540928,0
-2.895811904189165,-0.12180808370519852,1
-2.134302440021644,-3.3903742333168663,1
-4.32029009910963,-0.11116301792337945,1
-5.306367449846472,1.1824240078959731,1
4.284214670016284,-2.532300598949808,0
0.9904175326231062,-1.013048248664886,0
5.373699457406003,7.862145305596296,0
-3.448461202732581,0.3206382983393276,1
7.511174809544349,3.9346175191604127,0
-5.272501062363687,0.3856662823047728,1
1.0501626242849738,0.7626196368878961,0
0.6397001957501685,1.1318742002604756,0
0.6762339694088754,-2.0880163653391763,0
-2.0189397903637762,1.3442511379468638,1
-1.6228508518231615,-3.455548967275141,1
2.376916467390008,1.154682291095043,0
-5.502624933430648,-0.46573353331953193,1
4.598689719704445,3.1023850500146595,0
-2.6163993851928957,-0.7428080946456482,1
9.857297688554883,7.660793765148749,0
1.5017086738784085,-1.1292710366042855,0
1.5552712755654254,3.322405699120023,0
-1.292526649208377,-0.8309443230541623,1
0.9385014485602169,1.7461671039738624,0
-0.2409907734835066,6.326550968365375,1
4.71276065511192,-2.8723489249816874,0
-0.7771374697039376,2.406941684979393,1
1.8522737824376945,0.47711013017831816,0
-0.5047708618099059,-2.2285982811905876,1
-6.046231941338127,0.37961269337357595,1
-3.050098421938318,-0.4172001268037086,1
-0.6054184166660954,-0.7952082189214851,1
0.2479523804845144,7.329433983736134,0
3.643941351048868,1.5726709123536908,0
-2.1250499357127004,-2.689170595335486,1
-0.21965751246457313,1.245359400743118,1
-2.416629588330794,-3.1872547007434493,1
-1.6772115585063203,-0.4572174584940341,1
1.9601306383733554,-1.8106575016152722,0
0.6817551269555053,-0.18401586309487525,0
-3.8228043004998864,-0.028969810012797775,1
-6.870450441882694,-0.6710249757479737,1
-3.0279658140494914,-1.9430328132424197,1
-4.70843909265356,1.9228631608256896,1
0.6496036483851414,-0.8556542194465291,0
-6.359056515216821,0.42208793298896086,1
3.417319315687477,-3.4638596908553962,0
0.5237611599246594,2.7989622717938394,0
2.2217772945045504,2.187284383777345,0
-6.449142320603899,-0.9670373018441398,1
3.626534559978255,-0.2728028968320549,0
-2.3754957446531066,11.031123153775576,1
3.013679231875285,-0.15266413456967076,0
-3.5784840285997226,0.49541370005346363,1
2.903268940226051,1.246250345211689,0
0.826735507526531,1.887344720848488,0
-5.9846012425390835,-0.4481329319135499,1
1.3534157730245815,1.3059146404714777,0
-4.513057997864085,0.12831084050258545,1
-3.6679325996821497,0.9835136383762603,1
0.2725308764378095,-0.6605903635363441,0
3.6643626547140276,-2.3662412019668064,0
6.8363602322584605,-0.47614788500682775,0
4.380273146363562,-2.147530689031062,0
-0.32258380408320386,-2.603029723730433,1
0.9871981927677419,0.5046322618718124,0
7.400995158050023,-3.0367703630762666,0
1.29088554457666,4.795221827241052,0
-1.2345702175280342,0.23971938386538386,1
-0.26589744783214686,0.41371908700797316,1
-1.6048962897924262,3.7008612258573272,1
-4.585909375041624,7.234137559642005,1
-0.9159409945556598,-1.4834241707576326,1
4.784194262935763,-1.931501594071983,0
-3.722366757761361,0.6987167950176805,1
4.4876249584575,-0.4793634838357336,0
1.6510393869773168,0.5899050639350577,0
1.151239215239955,-3.2326723652740763,0
-4.642002866343366,5.197491338458368,1
-3.131820018518805,1.0676875708826628,1
-1.4839204545804845,-0.389607428059691,1
0.02414290330389142,0.20558463998320678,1
-5.113455117221633,0.4032195923077304,1
-0.8624914452494512,3.39257201657201,1
3.872754027376964,2.354029162633703,0
-0.37458918027706795,0.1796769532295376,1
1.6928731221243183,-2.886889482013767,0
-0.6334285466240275,1.3459187027103443,1
-6.405334511017219,-0.5592123023272588,1
4.376727966004859,-2.135728252389873,0
-2.9004007211873435,-2.456314443486168,1
0.27974353040328376,-1.5144782038121412,0
0.578452039282244,-0.0562652927476667,0
0.9828178102215419,3.8501258738076256,0
-1.9042672749589975,0.5714517803088659,1
